episode,player_0_avg_payoff,player_0_rl_loss,player_0_sl_loss,player_0_won_pct,player_0_under_pct,player_0_over_pct,player_0_per_beta,player_1_avg_payoff,player_1_rl_loss,player_1_sl_loss,player_1_won_pct,player_1_under_pct,player_1_over_pct,player_1_per_beta,player_2_avg_payoff,player_2_rl_loss,player_2_sl_loss,player_2_won_pct,player_2_under_pct,player_2_over_pct,player_2_per_beta,player_3_avg_payoff,player_3_rl_loss,player_3_sl_loss,player_3_won_pct,player_3_under_pct,player_3_over_pct,player_3_per_beta
8000,-0.792,0.26170989871025085,0.11142414808273315,10.4,67.2,22.4,0.401,-0.848,0.22109872102737427,0.04370703548192978,7.6,67.4,25.0,0.401,-0.844,0.22363556921482086,0.03667869418859482,7.8,71.6,20.6,0.401,-0.832,0.18612152338027954,0.0658043771982193,8.4,66.0,25.6,0.401
8500,-0.848,0.6844455003738403,0.10115981847047806,7.6,68.6,23.8,0.4011,-0.852,0.30441761016845703,0.0629725530743599,7.4,68.6,24.0,0.4011,-0.856,0.2636427879333496,0.04628888517618179,7.2,70.0,22.8,0.4011,-0.848,0.30427414178848267,0.06956204026937485,7.6,69.2,23.2,0.4011
9000,-0.86,0.44692373275756836,0.04698697850108147,7.0,69.8,23.2,0.4011,-0.832,0.27209728956222534,0.05263177677989006,8.4,70.2,21.4,0.4011,-0.82,0.17532263696193695,0.03403257578611374,9.0,69.8,21.2,0.4011,-0.848,0.34136298298835754,0.057369839400053024,7.6,68.6,23.8,0.4011
9500,-0.868,0.15667739510536194,0.010279683396220207,6.6,68.6,24.8,0.4012,-0.84,0.5242802500724792,0.07636931538581848,8.0,68.0,24.0,0.4012,-0.852,0.19599387049674988,0.05384967476129532,7.4,68.0,24.6,0.4012,-0.856,0.20000417530536652,0.020185422152280807,7.2,66.0,26.8,0.4012
10000,-0.848,0.21472159028053284,0.0484616793692112,7.6,71.4,21.0,0.4012,-0.84,0.1457514464855194,0.04575474560260773,8.0,68.4,23.6,0.4012,-0.796,0.1771533191204071,0.05172159522771835,10.2,63.4,26.4,0.4012,-0.872,0.2929384410381317,0.05403272435069084,6.4,68.0,25.6,0.4012
10500,-0.828,0.2839329242706299,0.11334812641143799,8.6,66.8,24.6,0.4013,-0.8,0.2908638119697571,0.028523432090878487,10.0,63.4,26.6,0.4013,-0.852,0.15558341145515442,0.02961825579404831,7.4,70.4,22.2,0.4013,-0.868,0.14113447070121765,0.06439413130283356,6.6,68.2,25.2,0.4013
11000,-0.864,0.1937658041715622,0.06421560049057007,6.8,66.6,26.6,0.4014,-0.868,0.27632737159729004,0.04117000475525856,6.6,64.4,29.0,0.4014,-0.844,0.18546247482299805,0.021280977874994278,7.8,68.4,23.8,0.4014,-0.864,0.1712629199028015,0.04206700995564461,6.8,65.6,27.6,0.4014
11500,-0.868,0.20419025421142578,0.06405241787433624,6.6,71.4,22.0,0.4014,-0.828,0.32817891240119934,0.05237840861082077,8.6,65.0,26.4,0.4014,-0.84,0.22999495267868042,0.04985218867659569,8.0,64.0,28.0,0.4014,-0.844,0.48136311769485474,0.014429586939513683,7.8,66.4,25.8,0.4014
12000,-0.844,0.215976744890213,0.029848892241716385,7.8,65.4,26.8,0.4015,-0.868,0.22665974497795105,0.05252918601036072,6.6,67.0,26.4,0.4015,-0.836,0.12590578198432922,0.09226897358894348,8.2,62.0,29.8,0.4015,-0.848,0.15155059099197388,0.038187265396118164,7.6,70.4,22.0,0.4015
12500,-0.884,0.14019499719142914,0.06228477507829666,5.8,65.4,28.8,0.4016,-0.816,0.22419792413711548,0.04868160933256149,9.2,67.4,23.4,0.4016,-0.864,0.15289412438869476,0.03424142301082611,6.8,68.6,24.6,0.4016,-0.86,0.1730695515871048,0.03949417173862457,7.0,66.8,26.2,0.4016
13000,-0.808,0.35722285509109497,0.08843231201171875,9.6,64.6,25.8,0.4016,-0.848,0.34627750515937805,0.09026260673999786,7.6,65.8,26.6,0.4016,-0.848,0.1475975513458252,0.0578467920422554,7.6,69.8,22.6,0.4016,-0.872,0.10763628035783768,0.04633212834596634,6.4,66.8,26.8,0.4016
13500,-0.76,0.36276528239250183,0.051644448190927505,12.0,63.0,25.0,0.4017,-0.832,0.26316139101982117,0.04089880734682083,8.4,63.2,28.4,0.4017,-0.9,0.37823933362960815,0.04649258404970169,5.0,71.6,23.4,0.4017,-0.88,0.199785053730011,0.026019681245088577,6.0,66.6,27.4,0.4017
14000,-0.836,0.3210110664367676,0.0480770580470562,8.2,62.4,29.4,0.4017,-0.856,0.22473061084747314,0.04664590209722519,7.2,61.8,31.0,0.4017,-0.84,0.16600634157657623,0.04113563522696495,8.0,63.4,28.6,0.4017,-0.896,0.18502181768417358,0.03817727416753769,5.2,65.8,29.0,0.4017
14500,-0.832,0.17383453249931335,0.0526442676782608,8.4,64.6,27.0,0.4018,-0.816,0.260867714881897,0.06267362833023071,9.2,62.6,28.2,0.4018,-0.84,0.2429165095090866,0.07243586331605911,8.0,66.2,25.8,0.4018,-0.868,0.22363115847110748,0.02040056884288788,6.6,69.8,23.6,0.4018
15000,-0.844,0.3036099970340729,0.05498720705509186,7.8,64.4,27.8,0.4019,-0.828,0.2571691870689392,0.025534596294164658,8.6,64.6,26.8,0.4019,-0.888,0.22395235300064087,0.044087380170822144,5.6,69.2,25.2,0.4019,-0.864,0.32731109857559204,0.03666592016816139,6.8,66.0,27.2,0.4019
15500,-0.864,0.4002286195755005,0.050635926425457,6.8,69.4,23.8,0.4019,-0.844,0.27499109506607056,0.05739792436361313,7.8,66.2,26.0,0.4019,-0.832,0.39024075865745544,0.08401563763618469,8.4,67.2,24.4,0.4019,-0.844,0.32087013125419617,0.10053206980228424,7.8,65.2,27.0,0.4019
16000,-0.856,0.496978223323822,0.039919935166835785,7.2,67.0,25.8,0.402,-0.88,0.24995973706245422,0.11022534966468811,6.0,66.0,28.0,0.402,-0.852,0.31591078639030457,0.04166625440120697,7.4,67.4,25.2,0.402,-0.848,0.6149353384971619,0.08575992286205292,7.6,64.6,27.8,0.402
16500,-0.808,0.6409238576889038,0.05835523456335068,9.6,66.8,23.6,0.4021,-0.88,0.2891574800014496,0.0674755871295929,6.0,61.8,32.2,0.4021,-0.824,0.36758726835250854,0.03352701663970947,8.8,65.8,25.4,0.4021,-0.848,0.3506309390068054,0.032469138503074646,7.6,67.4,25.0,0.4021
17000,-0.844,0.4060122072696686,0.043915390968322754,7.8,65.0,27.2,0.4021,-0.828,0.40648353099823,0.07504218816757202,8.6,62.2,29.2,0.4021,-0.848,0.30456408858299255,0.05066799372434616,7.6,64.0,28.4,0.4021,-0.896,0.2651274800300598,0.010256722569465637,5.2,67.0,27.8,0.4021
17500,-0.84,0.4295205771923065,0.04471377283334732,8.0,65.2,26.8,0.4022,-0.84,0.4015437960624695,0.017346464097499847,8.0,61.2,30.8,0.4022,-0.868,0.23861965537071228,0.08408523350954056,6.6,61.4,32.0,0.4022,-0.852,0.22598296403884888,0.027690209448337555,7.4,61.6,31.0,0.4022
18000,-0.812,0.6061644554138184,0.045482128858566284,9.4,64.0,26.6,0.4022,-0.864,0.19882330298423767,0.026446521282196045,6.8,61.6,31.6,0.4022,-0.836,0.3710881471633911,0.049471136182546616,8.2,60.6,31.2,0.4022,-0.876,0.23091404139995575,0.07003048062324524,6.2,65.2,28.6,0.4022
18500,-0.864,0.08863801509141922,0.04506640508770943,6.8,68.4,24.8,0.4023,-0.836,0.2343437373638153,0.06350687146186829,8.2,64.0,27.8,0.4023,-0.832,0.22187383472919464,0.05956748500466347,8.4,61.6,30.0,0.4023,-0.868,0.3031616508960724,0.08456840366125107,6.6,63.8,29.6,0.4023
19000,-0.832,0.29497280716896057,0.04990039020776749,8.4,64.0,27.6,0.4024,-0.816,0.5064029693603516,0.05557156354188919,9.2,61.8,29.0,0.4024,-0.856,0.37282413244247437,0.03825601935386658,7.2,65.2,27.6,0.4024,-0.864,0.23687593638896942,0.05937870591878891,6.8,64.2,29.0,0.4024
19500,-0.856,0.3452225923538208,0.02014783024787903,7.2,66.6,26.2,0.4024,-0.84,0.11540229618549347,0.043721385300159454,8.0,65.2,26.8,0.4024,-0.84,0.2993720769882202,0.07415077090263367,8.0,59.4,32.6,0.4024,-0.86,0.17932838201522827,0.047284774482250214,7.0,65.0,28.0,0.4024
20000,-0.812,0.28048792481422424,0.04417604207992554,9.4,62.2,28.4,0.4025,-0.852,0.33217716217041016,0.06360602378845215,7.4,60.6,32.0,0.4025,-0.872,0.2762940526008606,0.018863912671804428,6.4,62.4,31.2,0.4025,-0.832,0.28163182735443115,0.03590221330523491,8.4,65.0,26.6,0.4025
20500,-0.824,0.2774876356124878,0.034409049898386,8.8,63.2,28.0,0.4026,-0.836,0.6667987108230591,0.03991786390542984,8.2,60.6,31.2,0.4026,-0.856,0.29229414463043213,0.11679816246032715,7.2,58.4,34.4,0.4026,-0.856,0.11846572905778885,0.0634080171585083,7.2,68.6,24.2,0.4026
21000,-0.848,0.4099830090999603,0.08456255495548248,7.6,65.8,26.6,0.4026,-0.86,0.12893003225326538,0.035209670662879944,7.0,60.2,32.8,0.4026,-0.836,0.23687678575515747,0.042367689311504364,8.2,62.0,29.8,0.4026,-0.804,0.12936854362487793,0.0799909383058548,9.8,60.4,29.8,0.4026
21500,-0.84,0.3988434076309204,0.035351067781448364,8.0,62.4,29.6,0.4027,-0.852,0.3705997169017792,0.0715501606464386,7.4,62.4,30.2,0.4027,-0.864,0.3441048860549927,0.07533154636621475,6.8,61.0,32.2,0.4027,-0.84,0.13123714923858643,0.06258226931095123,8.0,61.0,31.0,0.4027
22000,-0.896,0.2276412546634674,0.05842010676860809,5.2,68.2,26.6,0.4027,-0.848,0.2775023877620697,0.0983724445104599,7.6,61.0,31.4,0.4027,-0.828,0.21225585043430328,0.025061320513486862,8.6,60.4,31.0,0.4027,-0.856,0.5900598764419556,0.05970665439963341,7.2,62.8,30.0,0.4027
22500,-0.82,0.2398809790611267,0.07860466837882996,9.0,61.0,30.0,0.4028,-0.852,0.17018036544322968,0.057059429585933685,7.4,60.2,32.4,0.4028,-0.884,0.188750758767128,0.050051551312208176,5.8,63.2,31.0,0.4028,-0.84,0.24699744582176208,0.06110671907663345,8.0,62.4,29.6,0.4028
